cluster,ct
1,Eryth
2,Neutrophils.1
3,MesenSC
4,Pro-Eryth
5,Monocyte
6,pre-B
7,Neutrophils.2
8,Tcell
9,dendritic_cells
10,Bcell
11,Oligodendrocytes
12,DG
13,CA
14,Pericyte
15,Astrocyte
16,L2.3.4
17,Opc
18,InN.1
19,InN.2
20,L5
21,micglia
22,L6
23,InN.3
24,cardiomyocytes
25,SmoothMuscle
26,macrophage
27,Endothelial
28,Fibroblast
29,LowQ
30,SkeletalMuscle.1
31,Muscle_Stem_Cell
32,SkeletalMuscle.2
33,Fat
